Isolate,ST
10095A_19,Other STs
10102A_19,Other STs
10184d_18,30
10299A_19,8
10424A_17,8
10sab,30
1192A_18,8
11sab,Other STs
1285C_20,8
12sab,5
1337a_19,Other STs
1376B_18,5
13sab,Other STs
141sab,5
142sab,Other STs
143sab,5
144sab,Other STs
145sab,Other STs
1466a_19,Other STs
146sab,8
147sab,30
14sab,Other STs
152sab,8
153sab,Other STs
154sab,Other STs
1557A_20,8
155sab,Other STs
156sab,8
157sab,30
1586A_18,Other STs
158sab,Other STs
1590A_18,5
159sab,8
15sab,5
160sab,Other STs
161sab,8
16sab,Other STs
1783B_18,Other STs
179sab,8
180sab,8
181sab,8
185sab,Other STs
186sab,8
187sab,30
188sab,8
189sab,8
190sab,8
191sab,Other STs
192sab,Other STs
193A_20,Other STs
193sab,8
195sab,8
196sab,Other STs
197sab,Other STs
1985_2B_20,Other STs
198sab,Other STs
1991A_20,5
199sab,8
1sab,Other STs
200sab,8
201sab,Other STs
202sab,Other STs
2045A_18,Other STs
204sab,Other STs
205sab,Other STs
206sab,Other STs
207sab,Other STs
208sab,Other STs
2098_18,Other STs
209sab,5
210sab,Other STs
211sab,5
212sab,8
213sab,5
214sab,Other STs
215sab,5
216sab,30
217sab,8
218sab,Other STs
219sab,Other STs
220sab,Other STs
2210B_18,5
2217b_19,5
221sab,8
222sab,5
223sab,Other STs
224sab,8
225sab,30
226sab,Other STs
227sab,Other STs
228sab,Other STs
229sab,8
230sab,Other STs
231sab,8
2324a_19,Other STs
233sab,30
235sab,8
236sab,5
237sab,Other STs
238sab,Other STs
239sab,30
23sab,Other STs
240sab,Other STs
241sab,30
242sab,Other STs
243sab,5
244sab,Other STs
245sab,Other STs
246sab,5
247sab,5
248sab,Other STs
249sab,Other STs
24sab,5
250sab,Other STs
251sab,8
2522A_19,Other STs
252sab,Other STs
253sab,Other STs
254sab,Other STs
255sab,Other STs
256sab,5
257sab,30
258sab,5
259sab,8
25sab,8
2601A_19,5
260sab,5
261sab,Other STs
262sab,8
263sab,Other STs
264sab,30
265sab,Other STs
266sab,Other STs
267sab,Other STs
268sab,Other STs
26sab,8
273sab,Other STs
2747G_19,Other STs
274sab,8
2757A_18,Other STs
275sab,Other STs
276sab,Other STs
277sab,Other STs
278sab,5
279sab,8
2805A_19,5
280sab,Other STs
281sab,Other STs
